IDSK,id,cust_id,order_date,region,sales_rep,line_id,prod_id,quantity,ship_date,PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID_x,UnitPrice_x,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate,OrderID,ProductID_y,UnitPrice_y,Quantity,Discount
1,2001,101,14-Mar-1996 12:00:00 AM,Eastern,299,1,300,12,15-Sep-1996 12:00:00 AM,2,2,2011-04-30,3,359,45.12,135.36,3.0,0.0,3.0,2011-04-23,10248,42,9.8,10,0.0
2,2001,101,14-Mar-1996 12:00:00 AM,Eastern,299,2,301,12,14-Sep-1996 12:00:00 AM,2,3,2011-04-30,3,360,45.5805,136.7415,3.0,0.0,3.0,2011-04-23,10248,72,34.8,5,0.0
3,2001,101,14-Mar-1996 12:00:00 AM,Eastern,299,3,302,12,14-Sep-1996 12:00:00 AM,3,4,2011-04-30,550,530,16.086,8847.3,550.0,0.0,550.0,2011-04-23,10249,14,18.6,9,0.0
4,2002,102,18-Mar-1996 12:00:00 AM,Eastern,467,1,400,24,18-Sep-1996 12:00:00 AM,4,5,2011-04-30,3,4,57.0255,171.0765,2.0,1.0,1.0,2011-04-23,10249,51,42.4,40,0.0
5,2002,102,18-Mar-1996 12:00:00 AM,Eastern,467,2,401,24,18-Sep-1996 12:00:00 AM,5,6,2011-05-14,550,512,37.086,20397.3,550.0,0.0,550.0,2011-05-07,10250,41,7.7,10,0.0
6,2003,103,21-Mar-1996 12:00:00 AM,Eastern,1039,1,500,12,23-Sep-1996 12:00:00 AM,6,7,2011-05-14,550,513,26.5965,14628.075,468.0,0.0,468.0,2011-05-07,10250,51,42.4,35,0.15000000596046448
7,2003,103,21-Mar-1996 12:00:00 AM,Eastern,1039,2,501,12,23-Sep-1996 12:00:00 AM,7,8,2011-05-14,550,317,27.0585,14882.175,550.0,0.0,550.0,2011-05-07,10250,65,16.8,15,0.15000000596046448
8,2003,103,21-Mar-1996 12:00:00 AM,Eastern,1039,3,400,12,23-Sep-1996 12:00:00 AM,7,9,2011-05-14,550,318,33.579,18468.45,550.0,0.0,550.0,2011-05-07,10251,22,16.8,6,0.05000000074505806
9,2004,104,23-Mar-1996 12:00:00 AM,South,902,1,600,48,23-Sep-1996 12:00:00 AM,7,10,2011-05-14,550,319,46.0635,25334.925,550.0,0.0,550.0,2011-05-07,10251,57,15.6,15,0.05000000074505806
10,2004,104,23-Mar-1996 12:00:00 AM,South,902,2,601,48,23-Sep-1996 12:00:00 AM,8,11,2011-05-14,3,403,47.4705,142.4115,3.0,0.0,3.0,2011-05-07,10251,65,16.8,20,0.0
